,numRooms,house_configuration,cleaned_house_type,location,city,latitude,longitude,currency,numBathrooms,numBalconies,isNegotiable,Status,converted_house_size,cleaned_security_deposit,price
1971,2,BHK,Apartment,Mohammed wadi,Pune,18.52039909,73.85669708,INR,2.0,2.0,Not Negotiable,Semi-Furnished,650.0,50000.0,14000.0
1972,2,BHK,Apartment,Chinchwad,Pune,18.62671089,73.77651978,INR,2.0,1.0,Not Negotiable,Unfurnished,890.0,60000.0,20000.0
1973,2,BHK,Apartment,Shirur,Pune,18.81683922,74.36988068,INR,1.0,1.0,Not Negotiable,Unfurnished,850.0,15000.0,7500.0
1974,1,BHK,Independent Floor,Pimple Gurav,Pune,18.58831596,73.81651306,INR,1.0,1.0,Not Negotiable,Unfurnished,680.0,20000.0,8000.0
1975,2,BHK,Apartment,Manjari,Pune,18.5028286,73.96429443,INR,2.0,2.0,Negotiable,Semi-Furnished,985.0,50000.0,25000.0
1976,1,BHK,Apartment,Charholi Budruk,Pune,18.64977264,73.91429901,INR,1.0,2.0,Not Negotiable,Semi-Furnished,624.0,25000.0,10000.0
1977,2,BHK,Apartment,NIBM Annex Mohammadwadi,Pune,18.46024323,73.92569733,INR,2.0,2.0,Negotiable,Semi-Furnished,942.0,50000.0,18000.0
1978,2,BHK,Apartment,Hinjewadi,Pune,18.61830139,73.7075882,INR,2.0,1.0,Not Negotiable,Unfurnished,1050.0,40000.0,20000.0
1979,1,RK,Studio Apartment,Chandan Nagar,Pune,18.56110001,73.93450928,INR,1.0,1.0,Not Negotiable,Semi-Furnished,425.0,11000.0,5300.0
1980,1,BHK,Apartment,Kondhwa,Pune,18.48101425,73.90065765,INR,1.0,0.0,Negotiable,Semi-Furnished,550.0,25000.0,13500.0
1981,2,BHK,Apartment,Prabhat Road,Pune,18.51400566,73.835289,INR,2.0,2.0,Negotiable,Furnished,1150.0,80000.0,42000.0
1982,1,BHK,Apartment,Alandi,Pune,18.65011597,73.87715912,INR,1.0,1.0,Negotiable,Unfurnished,624.0,20000.0,11000.0
1983,2,BHK,Apartment,Wagholi,Pune,18.58126259,73.98873901,INR,2.0,1.0,Not Negotiable,Unfurnished,780.0,30000.0,13500.0
1984,2,BHK,Apartment,Pimple Saudagar,Pune,18.59990311,73.80088806,INR,2.0,2.0,Not Negotiable,Semi-Furnished,1200.0,80000.0,30000.0
1985,3,BHK,Apartment,Bavdhan,Pune,18.5211544,73.76687622,INR,3.0,2.0,Not Negotiable,Unfurnished,1428.0,150000.0,30000.0
1986,1,BHK,Villa,Kharadi,Pune,18.55356216,73.94377899,INR,1.0,1.0,Not Negotiable,Semi-Furnished,750.0,9000.0,9000.0
1987,2,BHK,Apartment,Dhanori,Pune,18.59700012,73.89672852,INR,2.0,3.0,Not Negotiable,Semi-Furnished,787.0,60000.0,22000.0
1988,2,BHK,Apartment,Hinjewadi,Pune,18.61830139,73.712883,INR,2.0,2.0,Not Negotiable,Semi-Furnished,816.0,50000.0,23000.0
1989,2,BHK,Independent House,kesnand,Pune,18.57319069,74.02413177,INR,2.0,1.0,Negotiable,Unfurnished,750.0,20000.0,8000.0
1990,3,BHK,Apartment,Vikas Nagar,Pune,18.66720581,73.72828674,INR,3.0,1.0,Negotiable,Furnished,1600.0,50000.0,25000.0
1991,2,BHK,Apartment,Kondhwa,Pune,18.43179321,73.89795685,INR,2.0,0.0,Not Negotiable,Semi-Furnished,793.0,35000.0,13500.0
1992,1,BHK,Apartment,Kharadi,Pune,18.55825043,73.93966675,INR,1.0,0.0,Negotiable,Furnished,500.0,30000.0,16500.0
1993,2,BHK,Apartment,Wakad,Pune,18.59720993,73.75839996,INR,2.0,0.0,Negotiable,Semi-Furnished,1170.0,85000.0,30000.0
