,numRooms,house_configuration,cleaned_house_type,location,city,latitude,longitude,currency,numBathrooms,numBalconies,isNegotiable,Status,converted_house_size,cleaned_security_deposit,price
85,1,BHK,Apartment,Borivali West,Mumbai,19.23309135,72.8415451,INR,1.0,0.0,Not Negotiable,Semi-Furnished,580.0,0.0,35000.0
86,1,BHK,Apartment,Kandivali East,Mumbai,19.19689178,72.87253571,INR,2.0,0.0,Not Negotiable,Furnished,450.0,0.0,28000.0
87,1,BHK,Apartment,Malad West,Mumbai,19.19841576,72.83609772,INR,2.0,0.0,Not Negotiable,Unfurnished,600.0,0.0,26900.0
88,2,BHK,Apartment,Kharghar,Mumbai,19.03841209,73.07059479,INR,2.0,0.0,Not Negotiable,Furnished,1500.0,0.0,39000.0
89,2,BHK,Apartment,Jogeshwari West,Mumbai,19.14773178,72.84082794,INR,2.0,0.0,Not Negotiable,Unfurnished,1100.0,0.0,50000.0
90,2,BHK,Apartment,Goregaon West,Mumbai,19.15707207,72.84046936,INR,2.0,0.0,Not Negotiable,Unfurnished,1100.0,0.0,75000.0
91,1,BHK,Apartment,Dombivali,Mumbai,19.21637344,73.08179474,INR,1.0,0.0,Not Negotiable,Semi-Furnished,685.0,0.0,8500.0
92,1,BHK,Apartment,Chembur,Mumbai,19.06782532,72.89997864,INR,1.0,0.0,Not Negotiable,Unfurnished,615.0,0.0,39000.0
93,1,BHK,Apartment,Kamothe,Mumbai,19.01773643,73.09333038,INR,1.0,0.0,Not Negotiable,Unfurnished,650.0,0.0,15000.0
94,3,BHK,Apartment,Andheri East,Mumbai,28.5544014,77.20339966,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1800.0,0.0,130000.0
95,2,BHK,Apartment,Thane West,Mumbai,19.26725197,72.96692657,INR,2.0,0.0,Not Negotiable,Unfurnished,980.0,0.0,26500.0
96,4,BHK,Apartment,Bandra East,Mumbai,19.06709862,72.86737061,INR,4.0,0.0,Not Negotiable,Furnished,4111.0,0.0,1000000.0
97,2,BHK,Apartment,Kharghar,Mumbai,19.04475212,73.07056427,INR,2.0,0.0,Not Negotiable,Furnished,1000.0,0.0,38000.0
98,1,BHK,Apartment,Thane West,Mumbai,19.18934631,72.96398163,INR,1.0,0.0,Not Negotiable,Furnished,650.0,0.0,26000.0
99,1,RK,Studio Apartment,Badlapur East,Mumbai,19.144207,73.24699402,INR,1.0,0.0,Not Negotiable,Unfurnished,450.0,0.0,3000.0
100,1,RK,Studio Apartment,Badlapur East,Mumbai,19.144207,73.24699402,INR,1.0,0.0,Not Negotiable,Unfurnished,450.0,0.0,3000.0
101,1,RK,Studio Apartment,Badlapur East,Mumbai,19.144207,73.24699402,INR,1.0,0.0,Not Negotiable,Unfurnished,450.0,0.0,3000.0
102,1,RK,Studio Apartment,Badlapur East,Mumbai,19.144207,73.24699402,INR,1.0,0.0,Not Negotiable,Unfurnished,450.0,0.0,3000.0
103,1,RK,Studio Apartment,Badlapur East,Mumbai,19.144207,73.24699402,INR,1.0,0.0,Not Negotiable,Unfurnished,450.0,0.0,3000.0
104,1,RK,Studio Apartment,Badlapur East,Mumbai,19.144207,73.24699402,INR,1.0,0.0,Not Negotiable,Unfurnished,450.0,0.0,3000.0
105,1,RK,Studio Apartment,Badlapur East,Mumbai,19.144207,73.24699402,INR,1.0,0.0,Not Negotiable,Unfurnished,450.0,0.0,3000.0
106,1,BHK,Apartment,Bandra West,Mumbai,19.06117058,72.83162689,INR,2.0,0.0,Not Negotiable,Furnished,600.0,0.0,55000.0
107,1,BHK,Apartment,Bandra West,Mumbai,19.06117058,72.83162689,INR,2.0,0.0,Not Negotiable,Furnished,600.0,0.0,55000.0
108,1,BHK,Apartment,Kharghar,Mumbai,19.0598774,73.06433868,INR,1.0,0.0,Not Negotiable,Unfurnished,510.0,0.0,9000.0
109,1,BHK,Apartment,Andheri East,Mumbai,19.10876465,72.86569214,INR,2.0,0.0,Not Negotiable,Furnished,600.0,0.0,50000.0
110,2,BHK,Apartment,Kalamboli,Mumbai,19.03714943,73.09010315,INR,2.0,0.0,Not Negotiable,Furnished,1100.0,0.0,24000.0
111,2,BHK,Apartment,Kalamboli,Mumbai,19.04022598,73.09493256,INR,2.0,0.0,Not Negotiable,Unfurnished,1050.0,0.0,20000.0
112,2,BHK,Apartment,Kalamboli,Mumbai,19.03874969,73.0954361,INR,2.0,0.0,Not Negotiable,Unfurnished,1100.0,0.0,18000.0
113,4,BHK,Apartment,Kalamboli,Mumbai,19.03683662,73.090065,INR,4.0,0.0,Not Negotiable,Furnished,2000.0,0.0,70000.0
114,3,BHK,Apartment,Kalamboli,Mumbai,19.03690338,73.08908081,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1750.0,0.0,32000.0
115,2,BHK,Apartment,Tardeo,Mumbai,18.96582985,72.81555176,INR,2.0,0.0,Not Negotiable,Unfurnished,825.0,0.0,75000.0
116,2,BHK,Apartment,Kalamboli,Mumbai,19.03648758,73.09268188,INR,2.0,0.0,Not Negotiable,Unfurnished,1050.0,0.0,19000.0
117,2,BHK,Apartment,Kalamboli,Mumbai,19.04291344,73.09802246,INR,2.0,0.0,Not Negotiable,Unfurnished,1100.0,0.0,20000.0
118,3,BHK,Apartment,Kalamboli,Mumbai,19.04291344,73.09802246,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1250.0,0.0,25000.0
119,3,BHK,Apartment,Kandivali East,Mumbai,19.20370293,72.85730743,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1500.0,0.0,64500.0
120,1,RK,Studio Apartment,Powai,Mumbai,19.1109314,72.89659882,INR,1.0,0.0,Not Negotiable,Unfurnished,240.0,0.0,16000.0
121,2,BHK,Apartment,Powai,Mumbai,19.12780571,72.89354706,INR,2.0,0.0,Not Negotiable,Semi-Furnished,950.0,0.0,80000.0
122,3,BHK,Apartment,Jogeshwari West,Mumbai,19.1422596,72.8319397,INR,3.0,0.0,Not Negotiable,Unfurnished,950.0,0.0,85000.0
